id,airport,name,address,city,zip,lat,lon,dist_mi,rooms_approx,class,shuttle,surge_tier,best_windows,addr_confidence,notes
pie-03,PIE,Hilton St. Petersburg Carillon Park,"950 Lake Carillon Dr",St. Petersburg,33716,27.8875,-82.6560,2.9,207,full_service,none,A,"05:00-07:30;17:30-20:30",medium,"Corporate Carillon office park. Weekday business travel, no shuttle. Strongest non-leisure demand near PIE."
pie-04,PIE,Holiday Inn St. Petersburg N - Clearwater,"3131 Executive Dr",Clearwater,33762,27.8950,-82.6830,1.9,150,select_service,free,B,"03:30-05:00;22:30-00:00",medium,"Off-hours only around the shuttle."
pie-05,PIE,Hampton Inn & Suites Clearwater/St. Petersburg-Ulmerton Rd,"3095 Executive Dr",Clearwater,33762,27.8945,-82.6845,1.8,110,select_service,limited_hours,B,"03:30-05:30;22:00-23:30",low,"Same Ulmerton cluster. Address approximate - navigate by name."
pie-06,PIE,Home2 Suites by Hilton Clearwater St. Petersburg Ulmerton Rd,"Ulmerton Rd (verify by name)",Clearwater,33762,27.8940,-82.6900,1.7,110,select_service,none,B,"04:00-06:00;18:00-20:00",low,"Extended stay, no shuttle. Address unverified - navigate by name."
pie-07,PIE,Courtyard St. Petersburg Clearwater,"3131 Executive Dr",Clearwater,33762,27.8952,-82.6825,2.0,120,select_service,none,B,"05:00-07:30",low,"Business-leaning. Address approximate."
pie-08,PIE,Residence Inn St. Petersburg Clearwater,"5050 Ulmerton Rd",Clearwater,33760,27.8930,-82.6650,2.7,130,select_service,none,C,"05:30-07:30;18:00-20:00",low,"Eastern end of the corridor, further from the field."
srq-01,SRQ,Hyatt Place Sarasota/Bradenton Airport,"950 University Pkwy",Sarasota,34234,27.3880,-82.5490,0.6,120,select_service,free,A,"04:45-07:30;18:00-21:00",medium,"Directly across University Pkwy from the terminal. Closest reliable stage point at SRQ."
srq-02,SRQ,Courtyard Sarasota Bradenton Airport,"850 University Pkwy",Sarasota,34234,27.3885,-82.5505,0.5,130,select_service,none,A,"05:00-07:30",medium,"Across from the terminal, no shuttle. See notes - strong morning spot."
srq-03,SRQ,Hampton Inn & Suites Sarasota/Bradenton Airport,"975 University Pkwy",Sarasota,34234,27.3875,-82.5470,0.7,110,select_service,free,B,"04:45-06:00;21:00-23:00",medium,"Shuttle-served, so work the shoulders."
srq-04,SRQ,Homewood Suites by Hilton Sarasota/Airport,"5100 N Tamiami Trl",Sarasota,34234,27.3760,-82.5540,1.4,100,select_service,none,B,"05:30-07:30;18:00-20:30",low,"Extended stay on the Tamiami corridor. Address approximate."
srq-05,SRQ,Embassy Suites by Hilton Sarasota,"202 N Tamiami Trl",Sarasota,34236,27.3410,-82.5480,3.0,180,full_service,none,A,"06:00-08:00;17:30-22:00",medium,"Downtown/bayfront edge of the 3 mi ring. Dinner and Van Wezel event outflow is excellent."
srq-06,SRQ,The Ritz-Carlton Sarasota,"1111 Ritz-Carlton Dr",Sarasota,34236,27.3350,-82.5490,3.2,266,resort,none,A,"18:00-22:30",medium,"Just outside 3 mi but included deliberately - highest fare-per-trip in the SRQ zone. Evening only."
srq-07,SRQ,Art Ovation Hotel Autograph Collection,"1255 N Palm Ave",Sarasota,34236,27.3375,-82.5460,3.1,162,boutique,none,B,"18:00-23:00",medium,"Downtown arts district. Tracks the theater and gallery calendar."
srq-08,SRQ,Hotel Indigo Sarasota,"1223 Blvd of the Arts",Sarasota,34236,27.3420,-82.5455,2.9,95,boutique,none,B,"18:00-22:00",medium,"Small but well placed for downtown dinner runs."
srq-09,SRQ,Fairfield Inn & Suites Sarasota Bradenton,"3900 N Washington Blvd",Sarasota,34234,27.3800,-82.5330,1.8,110,select_service,none,C,"05:30-07:30",low,"Budget-leaning. Fill-in spot. Address approximate."
rsw-01,RSW,Hyatt Place Fort Myers/Airport,"12291 Chamberlin Pkwy",Fort Myers,33913,26.5390,-81.7690,2.2,140,select_service,free,A,"04:00-06:30;21:30-23:30",medium,"Closest hotel to RSW. Work the shuttle shoulders - RSW banks start very early in season."
rsw-02,RSW,Hilton Garden Inn Fort Myers Airport/FGCU,"16410 Corporate Commerce Way",Fort Myers,33913,26.5170,-81.7720,2.9,126,select_service,limited_hours,A,"04:00-06:00;21:00-23:00",medium,"FGCU and corporate park traffic on top of airport guests."
rsw-03,RSW,Four Points by Sheraton Fort Myers Airport,"11660 Chamberlin Pkwy",Fort Myers,33913,26.5400,-81.7660,2.4,120,select_service,free,B,"04:00-06:00;21:30-23:00",low,"Same Chamberlin cluster. Address approximate - navigate by name."
rsw-04,RSW,Home2 Suites by Hilton Fort Myers Airport,"16450 Corporate Commerce Way",Fort Myers,33913,26.5165,-81.7715,2.9,110,select_service,none,B,"04:30-06:30",low,"No shuttle. Address approximate."
rsw-05,RSW,Holiday Inn Express & Suites Fort Myers Airport,"9450 Marketplace Rd",Fort Myers,33912,26.5480,-81.8100,3.6,100,select_service,free,B,"04:30-06:00;21:00-23:00",low,"Daniels corridor - outside 3 mi, listed because the true 3 mi ring at RSW is nearly empty."
rsw-06,RSW,SpringHill Suites Fort Myers Airport,"9501 Marketplace Rd",Fort Myers,33912,26.5470,-81.8090,3.7,110,select_service,free,B,"04:30-06:00",low,"Daniels corridor. Address approximate."
rsw-07,RSW,Comfort Inn & Suites Fort Myers Airport,"9401 Marketplace Rd",Fort Myers,33912,26.5485,-81.8110,3.6,90,budget,limited_hours,C,"04:30-05:30;22:00-23:00",low,"Shuttle runs 05:00-22:00 only - the gaps are the opportunity."
rsw-08,RSW,Hampton Inn & Suites Fort Myers Airport,"16450 Corporate Commerce Way",Fort Myers,33913,26.5160,-81.7700,3.0,110,select_service,free,C,"04:30-06:00",low,"Address approximate - navigate by name."
pgd-01,PGD,Holiday Inn Express & Suites Punta Gorda,"26505 N Jones Loop Rd",Punta Gorda,33950,26.9110,-81.9880,2.0,90,select_service,none,B,"tied to Allegiant bank times",low,"Closest to PGD. Only worth staging around published departure banks - otherwise dead."
pgd-02,PGD,Fairfield Inn & Suites Punta Gorda,"26506 N Jones Loop Rd",Punta Gorda,33950,26.9105,-81.9870,2.1,85,select_service,none,B,"tied to Allegiant bank times",low,"Same Jones Loop cluster as pgd-01."
pgd-03,PGD,Four Points by Sheraton Punta Gorda Harborside,"33 Tamiami Trl",Punta Gorda,33950,26.9290,-82.0510,4.2,105,full_service,none,C,"18:00-21:30",medium,"Downtown harborside - outside 3 mi. Dinner runs, not airport runs."
pgd-04,PGD,The Wyvern Hotel,"101 E Retta Esplanade",Punta Gorda,33950,26.9320,-82.0480,4.3,63,boutique,none,C,"18:00-22:00",medium,"Small boutique. Rooftop bar produces late evening trips."
pgd-05,PGD,Baymont by Wyndham Punta Gorda/Port Charlotte,"26560 N Jones Loop Rd",Punta Gorda,33950,26.9100,-81.9890,2.1,80,budget,none,C,"tied to Allegiant bank times",low,"Budget tier. Thin captures."
apf-01,APF,Hilton Naples,"5111 Tamiami Trl N",Naples,34103,26.1900,-81.8020,2.6,199,full_service,none,A,"18:00-22:30;season Nov-Apr",medium,"Best standing spot in the Naples zone. Full-service, no shuttle, restaurant-heavy corridor."
apf-02,APF,Inn on Fifth,"699 5th Ave S",Naples,34102,26.1410,-81.7950,1.5,119,boutique,none,A,"18:30-23:30;season Nov-Apr",high,"Heart of 5th Avenue South dining. The single most reliable evening surge address in Naples."
apf-03,APF,Hyatt House Naples/5th Avenue,"1345 5th Ave S",Naples,34102,26.1400,-81.7890,1.3,162,select_service,none,A,"18:00-23:00;season Nov-Apr",high,"On 5th Ave S with a marina. Strong dinner and beach-run demand."
apf-04,APF,AC Hotel by Marriott Naples 5th Avenue,"1000 5th Ave S",Naples,34102,26.1405,-81.7920,1.4,150,select_service,none,A,"18:00-23:00;season Nov-Apr",high,"Newer build on the 5th Ave corridor. Younger guest mix means higher rideshare uptake."
apf-05,APF,Holiday Inn Express Naples Downtown - 5th Avenue,"1100 9th St N",Naples,34102,26.1480,-81.7930,1.2,105,select_service,none,B,"18:00-22:00",medium,"Closest cluster to APF itself. Solid but lower fare-per-trip than the boutiques."
apf-06,APF,La Quinta Inn & Suites by Wyndham Naples Downtown,"185 Bedzel Cir",Naples,34104,26.1490,-81.7690,1.3,140,budget,none,B,"18:00-21:30",medium,"Confirmed 1.3 mi from APF. Budget tier - volume over fare size."
apf-07,APF,Naples Grande Beach Resort,"475 Seagate Dr",Naples,34103,26.2010,-81.8130,3.4,474,resort,none,A,"18:00-22:30;season Nov-Apr",medium,"Just outside 3 mi but by far the largest room count in the zone. Worth the deadhead in season."
apf-08,APF,Bellasera Resort,"221 9th St S",Naples,34102,26.1430,-81.7930,1.4,100,resort,none,B,"18:00-22:00",medium,"All-suite resort a block off 5th Ave S."
apf-09,APF,Cove Inn on Naples Bay,"900 Broad Ave S",Naples,34102,26.1350,-81.7940,1.8,100,boutique,none,C,"18:00-21:00",medium,"Bayfront, quieter. Situational."
apf-10,APF,Trianon Old Naples,"955 7th Ave S",Naples,34102,26.1390,-81.7940,1.5,58,boutique,none,C,"18:30-22:00",medium,"Small property. Only worth it while already staged on 5th Ave."
apf-11,APF,Courtyard Naples,"3250 Tamiami Trl N",Naples,34103,26.1740,-81.8000,2.0,120,select_service,none,B,"18:00-21:30",medium,"Mid-corridor between APF and the Hilton. Reasonable bridge spot."
